ID"";"tombe";"site";"province";"zone_geo";"amphore";"monnaie";"lampe";"armement";"parure";"strigile";"instrument.de.toilette";"miroir";"vaisselle.métallique";"vaisselle.en.verre";"matériaux.précieux";"char";"lit.funéraire";"instrument.écriture";"quantité.objet";"tombe_multiple";"sexe.defunt";"classe.age.defunt";"date_debut";"date_fin";"intervalle_personnalise";"groupe_cah";"diversite"
"107";"AVEC_Structure 223";"AVEC";"Germanie";"Gaule du centre-est";0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;"non";"masculin";"adulte";100;150;"100-300";"7";1
"108";"AVEC_Structure 224";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;"non";"féminin";"adulte";130;160;"100-300";"5";1
"109";"AVEC_Structure 227";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;1;0;0;0;0;1;0;0;0;0;4;"non";"féminin";"adulte";150;230;"100-300";"4";3
"110";"AVEC_Structure 229";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;"non";"masculin";"adulte";130;160;"100-300";"5";0
"111";"AVEC_Structure 23";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;9;"non";"masculin probable";"adulte";100;150;"100-300";"7";1
"112";"AVEC_Structure 230";"AVEC";"Germanie";"Gaule du centre-est";0;1;1;0;1;0;0;0;0;1;0;0;0;0;13;"non";"féminin";"adulte";150;230;"100-300";"4";4
"113";"AVEC_Structure 236";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;18;"non";"féminin";"adulte";150;230;"100-300";"4";1
"114";"AVEC_Structure 25";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"non";"indéterminé";"adulte";120;250;"100-300";"4";0
"115";"AVEC_Structure 264";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"oui";"mixte";"adulte";100;200;"100-300";"8";0
"116";"AVEC_Structure 277";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"non";"féminin probable";"adulte";150;230;"100-300";"4";1
"117";"AVEC_Structure 285";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"féminin probable";"adulte";150;230;"100-300";"4";0
"118";"AVEC_Structure 292";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"non";"masculin probable";"adulte";150;230;"100-300";"4";0
"119";"AVEC_Structure 294";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin probable";"adulte";150;230;"100-300";"4";0
"120";"AVEC_Structure 295";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"féminin";"adulte";150;230;"100-300";"4";1
"121";"AVEC_Structure 296";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;"non";"indéterminé";"enfant";150;230;"100-300";"4";1
"122";"AVEC_Structure 299";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";160;250;"100-300";"4";0
"123";"AVEC_Structure 301";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";130;160;"100-300";"5";0
"124";"AVEC_Structure 302";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;"oui";"masculin probable";"adulte";140;250;"100-300";"4";1
"125";"AVEC_Structure 310";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;1;3;"non";"féminin";"adulte";150;230;"100-300";"4";2
"126";"AVEC_Structure 313";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"non";"féminin";"adulte";100;200;"100-300";"8";1
"127";"AVEC_Structure 314";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin probable";"adulte";130;160;"100-300";"5";0
"128";"AVEC_Structure 315";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"féminin probable";"adulte";150;230;"100-300";"4";0
"129";"AVEC_Structure 316";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"non";"masculin probable";"adulte";150;230;"100-300";"4";1
"130";"AVEC_Structure 317";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"non";"masculin probable";"adulte";150;230;"100-300";"4";0
"131";"AVEC_Structure 318";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"enfant";130;160;"100-300";"5";0
"132";"AVEC_Structure 319";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"enfant";150;230;"100-300";"4";0
"133";"AVEC_Structure 323";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;"non";"masculin probable";"adulte";100;200;"100-300";"8";1
"134";"AVEC_Structure 327";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";150;230;"100-300";"4";0
"135";"AVEC_Structure 328";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin probable";"adulte";100;150;"100-300";"7";1
"136";"AVEC_Structure 334";"AVEC";"Germanie";"Gaule du centre-est";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"masculin";"adulte";150;230;"100-300";"4";1
"137";"AVEC_Structure 335";"AVEC";"Germanie";"Gaule du centre-est";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;"non";"masculin";"adulte";150;230;"100-300";"4";1
