ID;tombe;site;province;zone_geo;amphore;monnaie;lampe;armement;parure;strigile;instrument.de.toilette;miroir;vaisselle.métallique;vaisselle.en.verre;matériaux.précieux;char;lit.funéraire;instrument.écriture;quantité.objet;tombe_multiple;sexe.defunt;classe.age.defunt;date_debut;date_fin;intervalle_personnalise;groupe_cah;x;y
450;WED_grab 2034;WED;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;indéterminé;adulte;-20;100;-75-1;10;49.86499;7.16444
451;WED_grab 2037;WED;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;adulte;-20;100;-75-1;10;49.86499;7.16444
452;WED_grab 204;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;non;indéterminé;adulte;-20;100;-75-1;10;49.86499;7.16444
453;WED_grab 2040;WED;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;-20;100;-75-1;10;49.86499;7.16444
454;WED_grab 2046;WED;Germanie;Gaule du nord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;féminin probable;adulte;-20;100;-75-1;10;49.86499;7.16444
455;WED_grab 205;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;non;indéterminé;adulte;-20;100;-75-1;10;49.86499;7.16444
456;WED_grab 2050;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;non;féminin;adulte;-20;100;-75-1;10;49.86499;7.16444
457;WED_grab 2051;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;non;indéterminé;enfant;-20;100;-75-1;10;49.86499;7.16444
458;WED_grab 2052;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;non;masculin probable;adulte;-20;100;-75-1;10;49.86499;7.16444
459;WED_grab 2060;WED;Germanie;Gaule du nord;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;non;indéterminé;adulte;-20;100;-75-1;10;49.86499;7.16444
