"ID";"tombe";"site";"province";"zone_geo";"amphore";"monnaie";"lampe";"armement";"parure";"strigile";"instrument.de.toilette";"miroir";"vaisselle.métallique";"vaisselle.en.verre";"matériaux.précieux";"char";"lit.funéraire";"instrument.écriture";"quantité.objet";"tombe_multiple";"sexe.defunt";"classe.age.defunt";"date_debut";"date_fin";"centre_chrono";"intervalle_personnalise";"groupe_cah";"diversite"
"78";"MSB_tombe 331";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"indéterminé";100;150;125;"100 - 300";"1";1
"79";"MSB_tombe 332";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"bébé";100;200;150;"100 - 300";"1";0
"80";"MSB_tombe 348";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";50;150;100;"100 - 300";"1";1
"81";"MSB_tombe 349";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;"non";"masculin";"adulte";100;150;125;"100 - 300";"1";1
"82";"MSB_tombe 356";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;"non";"indéterminé";"adulte";50;150;100;"100 - 300";"1";1
"83";"MSB_tombe 362";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";100;150;125;"100 - 300";"1";1
"84";"MSB_tombe 381";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"adulte";-30;200;85;"1 - 100";"1";1
"85";"MSB_tombe 385";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;1;1;0;0;0;0;0;0;0;0;0;0;0;4;"oui";"indéterminé";"mixte (adulte + enfant)";50;150;100;"100 - 300";"1";2
"86";"MSB_tombe 386";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";-30;50;10;"1 - 100";"1";0
"87";"MSB_tombe 46";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;"non";"féminin";"adulte";100;200;150;"100 - 300";"1";1
"88";"MSB_tombe 69";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";100;200;150;"100 - 300";"1";1
"89";"MSB_tombe 7";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;"non";"indéterminé";"adulte";100;200;150;"100 - 300";"1";1
"90";"MSB_tombe 80";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";100;150;125;"100 - 300";"1";1
"91";"MSB_tombe 82";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;1;1;0;0;0;0;0;0;0;0;0;0;0;4;"non";"masculin";"adulte";150;200;175;"100 - 300";"1";2
"92";"MSB_tombe 86";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"enfant";-30;50;10;"1 - 100";"1";1
"93";"MSB_tombe 89";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"adulte";50;100;75;"1 - 100";"1";1
"94";"MSB_tombe 92";"MSB";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"non";"indéterminé";"enfant";-30;200;85;"1 - 100";"1";1
"95";"NIMJJ_FS1069";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;1;0;0;0;0;14;"non";"indéterminé";"adulte";75;200;137,5;"100 - 300";"1";2
"96";"NIMJJ_FS1133";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;"non";"indéterminé";"indéterminé";1;50;25,5;"1 - 100";"1";1
"97";"NIMJJ_FS1194";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;1;0;0;1;1;0;0;0;1;0;0;0;0;7;"non";"indéterminé";"adulte";70;170;120;"100 - 300";"1";4
"98";"NIMJJ_SP1001";"NIMJJ";"Gaule Narbonnaise";"Gaule du sud";0;0;0;0;1;0;0;0;0;0;0;0;0;0;9;"non";"indéterminé";"adulte";70;170;120;"100 - 300";"1";1
