ID;tombe;site;province;zone_geo;amphore;monnaie;lampe;armement;parure;strigile;instrument de toilette;miroir;vaisselle métallique;vaisselle en verre;matériaux précieux;char;lit funéraire;instrument écriture;quantité objet;tombe_multiple;sexe defunt;classe age defunt;date_debut;date_fin
96;AVEC_Structure 161;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;adulte;100;150
97;AVEC_Structure 162;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;1;0;0;0;0;0;0;0;1;10;non;féminin;adulte mature;130;160
98;AVEC_Structure 164;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;masculin;adulte;150;230
99;AVEC_Structure 165a ou b;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;130;160
100;AVEC_Structure 165b;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;féminin ?;adulte;130;160
101;AVEC_Structure 167;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;non;indéterminé;infans I;150;230
102;AVEC_Structure 17;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;non;féminin;adulte;100;150
103;AVEC_Structure 17 ?;AVEC;Germanie;Gaule du centre-est;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;non;féminin;adulte;100;150
104;AVEC_Structure 174;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;non;indéterminé;adulte;150;230
105;AVEC_Structure 175a;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;non;féminin;adulte;130;160
106;AVEC_Structure 175a ou b;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;oui;indéterminé + féminin;infans I + adulte;130;160
107;AVEC_Structure 175b;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;infans I;130;160
108;AVEC_Structure 177/178;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;non;masculin;adulte;130;160
109;AVEC_Structure 179;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;non;masculin;adulte mature;50;130
110;AVEC_Structure 181;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;féminin;adulte;150;230
111;AVEC_Structure 183;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;non;féminin;adulte mature;130;160
112;AVEC_Structure 185;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;adulte;100;150
113;AVEC_Structure 187;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;non;féminin ?;adulte;150;230
114;AVEC_Structure 19/148;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;150;230
115;AVEC_Structure 191;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;non;féminin;adulte;120;250
116;AVEC_Structure 192;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;1;0;0;0;0;10;non;indéterminé;infans I;120;250
117;AVEC_Structure 194;AVEC;Germanie;Gaule du centre-est;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3;non;masculin ?;adulte;150;230
118;AVEC_Structure 195;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;non;masculin ?;adulte;150;230
119;AVEC_Structure 196;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;non;féminin;adulte;100;150
120;AVEC_Structure 202;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;infans I;100;150
121;AVEC_Structure 203;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;adulte;130;160
122;AVEC_Structure 206;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;oui;indéterminé;infans I + adulte;50;130
123;AVEC_Structure 216/217;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;non;masculin ?;adulte;130;160
124;AVEC_Structure 220;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;1;0;0;0;0;5;non;indéterminé;adulte;130;160
125;AVEC_Structure 223;AVEC;Germanie;Gaule du centre-est;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;non;masculin;adulte mature;100;150
126;AVEC_Structure 224;AVEC;Germanie;Gaule du centre-est;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;non;féminin;adulte;130;160
127;AVEC_Structure 227;AVEC;Germanie;Gaule du centre-est;0;1;0;0;1;0;0;0;0;1;0;0;0;0;4;non;féminin;adulte;150;230
128;AVEC_Structure 229;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;non;masculin;adulte;130;160
129;AVEC_Structure 23;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;1;0;0;0;0;9;non;masculin ?;adulte;100;150
130;AVEC_Structure 230;AVEC;Germanie;Gaule du centre-est;0;1;1;0;1;0;0;0;0;2;0;0;0;0;13;non;féminin;adulte;150;230
131;AVEC_Structure 236;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;5;0;0;0;0;18;non;féminin;adulte;150;230
132;AVEC_Structure 25;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;non;indéterminé;adulte;120;250
133;AVEC_Structure 264;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;oui;masculin + féminin;adulte;100;200
134;AVEC_Structure 277;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;non;féminin ?;adulte sénile;150;230
135;AVEC_Structure 285;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;féminin ?;jeune adulte;150;230
136;AVEC_Structure 292;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;masculin ?;adulte;150;230
137;AVEC_Structure 294;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin ?;adulte;150;230
138;AVEC_Structure 295;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;non;féminin;adulte;150;230
139;AVEC_Structure 296;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;non;indéterminé;infans I;150;230
140;AVEC_Structure 299;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;160;250
141;AVEC_Structure 301;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;indéterminé;adulte;130;160
142;AVEC_Structure 302;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;oui;masculin ?;adulte;140;250
143;AVEC_Structure 310;AVEC;Germanie;Gaule du centre-est;0;1;0;0;0;0;0;0;0;0;0;0;0;1;3;non;féminin;adulte;150;230
144;AVEC_Structure 313;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;non;féminin;adulte;100;200
145;AVEC_Structure 314;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin ?;jeune adulte;130;160
146;AVEC_Structure 315;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;féminin ?;adulte;150;230
147;AVEC_Structure 316;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;non;masculin ?;adulte;150;230
148;AVEC_Structure 317;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;masculin ?;adulte;150;230
149;AVEC_Structure 318;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;non;masculin;juvenis;130;160
150;AVEC_Structure 319;AVEC;Germanie;Gaule du centre-est;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;non;indéterminé;juvenis;150;230
