ID;site_abbreviation;fonction_nom;obj_nom;nouvelle_categorie;obj_nmi;materiau_nom;depot_nom;obj_remarque;typeSep_nom;defunt_genre;defunt_age;defunt_classe_age;phase_date_debut;phase_date_fin;province_nom;us_nom;obj_typologie;obj_longueur;obj_hauteur
982;STL;ameublement;clé;ameublement;1;alliage cuivreux;dépôt primaire de mobilier;intérieur de l'urne;crémation secondaire à urne;indéterminé;;adulte;-50;400;Gaule Narbonnaise;T56;;44;
983;STL;ameublement;clou décoratif;ameublement;2;alliage cuivreux;dépôt primaire de mobilier;intérieur de la fosse;crémation secondaire à urne;indéterminé;;adulte;69;96;Gaule Narbonnaise;T62;;max. clou 10;
984;STL;indéterminé;clou décoratif ? épingle ? verrou de serrure ?;indéterminé;2;alliage cuivreux;dépôt secondaire de mobilier;intérieur de la fosse;crémation secondaire à urne;indéterminé;;adulte;69;96;Gaule Narbonnaise;T62;;tête 20;
985;STL;indéterminé;clou décoratif ? épingle ? verrou de serrure ?;indéterminé;1;alliage cuivreux;dépôt secondaire de mobilier;intérieur de la fosse;crémation secondaire à urne;indéterminé;;adulte;69;96;Gaule Narbonnaise;T62;;tête 19;
986;STL;indéterminé;plaque;indéterminé;0;alliage cuivreux;dépôt primaire de mobilier;intérieur de l'urne;crémation secondaire mixte;indéterminé;;adulte;-27;37;Gaule Narbonnaise;T6B;;max.59;
987;STL;funéraire;urne;urne;1;plomb;modalité de dépôt inconnue;;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T72B;;;
988;STL;divers;chaînette;divers;1;alliage cuivreux;modalité de dépôt inconnue;;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T72B;;max. act. 16;
989;STL;indéterminé;coulure;indéterminé;0;alliage cuivreux;dépôt primaire de mobilier;intérieur de l'urne;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T72B;;max. act. 21;
990;STL;indéterminé;tige;indéterminé;0;alliage cuivreux;dépôt primaire de mobilier;intérieur de l'urne;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T72B;;;
991;STL;indéterminé;miroir ?;indéterminé;1;alliage cuivreux;modalité de dépôt inconnue;non localisé;crémation secondaire à urne;indéterminé;;adulte;-50;400;Gaule Narbonnaise;T73;;max. act. 26;
992;STL;funéraire;urne;urne;1;plomb;modalité de dépôt inconnue;;crémation secondaire à urne;indéterminé;;adulte;-27;70;Gaule Narbonnaise;T74;;;
993;STL;funéraire;urne;urne;2;plomb;modalité de dépôt inconnue;;crémation secondaire à urne;indéterminé;;adulte;-27;37;Gaule Narbonnaise;T75;;;170
994;STL;funéraire;urne;urne;1;plomb;modalité de dépôt inconnue;;crémation secondaire à urne;indéterminé;;adulte;-27;70;Gaule Narbonnaise;T80;;;318
995;STL;ameublement;bague-clé;bague clé;1;fer;dépôt primaire de mobilier;dans le comblement du loculus;crémation secondaire mixte;indéterminé;;adulte;-27;14;Gaule Narbonnaise;T87;;;17
996;STL;indéterminé;pied de lit funéraire ?;indéterminé;1;fer;modalité de dépôt inconnue;;aire de crémation;indéterminé;;adulte;-27;14;Gaule Narbonnaise;T92;;act. 285;
997;STL;parure, vêtement;clou de chaussure;clou de chaussure;8;fer;dépôt primaire de mobilier;intérieur de l'urne;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T94B;;;
998;STL;parure, vêtement;clou de chaussure;clou de chaussure;6;fer;dépôt secondaire de mobilier;autour de l'urne formant un effet de parois;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T94B;;max.  17;
999;STL;indéterminé;coulure;indéterminé;0;alliage cuivreux;dépôt primaire de mobilier;dans la fosse;crémation secondaire mixte;indéterminé;;adulte;14;68;Gaule Narbonnaise;T94B;;;
1000;STL;funéraire;urne;urne;1;plomb;modalité de dépôt inconnue;;crémation secondaire mixte;indéterminé;;adulte;96;400;Gaule Narbonnaise;T102;;;230
1001;STL;indéterminé;attache ?;indéterminé;0;plomb;dépôt primaire de mobilier;dans l'urne;crémation secondaire mixte;indéterminé;;adulte;96;400;Gaule Narbonnaise;T102;;act. 18,5;
1002;STL;toilette, hygiène;miroir;miroir;1;alliage cuivreux;dépôt secondaire de mobilier;dans la fosse;crémation secondaire à urne;indéterminé;;adulte;-27;14;Gaule Narbonnaise;T109;;act. 62;
1003;STL;indéterminé;tige;indéterminé;0;alliage cuivreux;modalité de dépôt inconnue;extérieur de l'urne;crémation secondaire à urne;indéterminé;;adulte;-27;70;Gaule Narbonnaise;T111A;;act. 37;
1004;STL;parure, vêtement;clou de chaussure;clou de chaussure;2;fer;dépôt primaire de mobilier;intérieur de l'urne;crémation secondaire à urne;indéterminé;;adulte;-27;96;Gaule Narbonnaise;T136;;;
1005;STL;parure, vêtement;clou de chaussure;clou de chaussure;36;fer;dépôt primaire de mobilier;intérieur de l'urne;crémation secondaire à urne;indéterminé;;adulte;-50;400;Gaule Narbonnaise;T153;;;
1006;STL;parure, vêtement;clou de chaussure;clou de chaussure;4;fer;dépôt primaire de mobilier;dans le résidu de crémation;crémation secondaire à urne;indéterminé;;adulte;-50;400;Gaule Narbonnaise;T153;;;
1007;STL;indéterminé;coulure;indéterminé;0;alliage cuivreux;dépôt primaire de mobilier;dans le résidu de crémation;crémation secondaire à urne;indéterminé;;adulte;-50;400;Gaule Narbonnaise;T153;;;
